epoch,loss,time
1,0.465967,0.303000
2,0.397345,0.590000
3,0.364504,0.829000
4,0.338531,1.115000
5,0.316133,1.432000
6,0.296095,1.703000
7,0.277801,2.006000
8,0.260880,2.373000
9,0.245087,2.661000
10,0.230254,3.008000
11,0.216261,3.294000
12,0.203016,3.594000
13,0.190454,3.929000
14,0.178521,4.249000
15,0.167177,4.563000
16,0.156388,4.919000
17,0.146129,5.262000
18,0.136378,5.547000
19,0.127114,5.915000
20,0.118321,6.217000
21,0.109984,6.537000
22,0.102089,6.864000
23,0.094624,7.221000
24,0.087573,7.539000
25,0.080926,7.840000
26,0.074669,8.099000
27,0.068790,8.449000
28,0.063275,8.751000
29,0.058111,9.100000
30,0.053285,9.420000
31,0.048784,9.738000
32,0.044592,10.024000
33,0.040697,10.390000
34,0.037084,10.691000
35,0.033739,11.026000
36,0.030649,11.424000
37,0.027799,11.745000
38,0.025176,12.062000
39,0.022766,12.365000
40,0.020556,12.698000
41,0.018534,13.016000
42,0.016686,13.334000
43,0.015000,13.685000
44,0.013466,14.015000
45,0.012072,14.332000
46,0.010807,14.681000
47,0.009662,15.030000
48,0.008627,15.317000
49,0.007692,15.650000
50,0.006850,16.000000
51,0.006092,16.352000
52,0.005411,16.715000
53,0.004801,17.114000
54,0.004254,17.445000
55,0.003765,17.778000
56,0.003328,18.094000
57,0.002939,18.448000
58,0.002592,18.747000
59,0.002284,19.049000
60,0.002010,19.401000
61,0.001767,19.715000
62,0.001552,20.033000
63,0.001362,20.368000
64,0.001193,20.717000
65,0.001045,21.051000
66,0.000914,21.369000
